PaisDestino,Anio,ValorMilesFOBDol,ValorMilesPesos,VolumenToneladas
China,2013,5114.599999999999,9574395.890000002,1202.5900000000004
Ecuador,2009,15648.659999999994,32779234.880000006,1190.6299999999999
Perú,2017,12119.029999999999,35802406.6,1186.0899999999995
Argentina,2017,4073.52,12008587.920000002,1185.25
Chile,2017,13608.879999999996,40192517.660000004,1180.3299999999997
Malasia,2013,6226.69,11580625.579999998,1170.5800000000004
Rusia- Federación de,2006,9375.03,22266211.290000003,1167.94
México,2010,12597.4,23793709.199999996,1161.7600000000002
República Checa,2007,3015.0700000000006,6112026.53,1154.9
Eslovenia,2016,3652.7799999999993,10944345.579999998,1139.2200000000003
Polonia,2016,7595.530000000002,23110794.83,1136.92
Rumania,2006,2760.1999999999994,6496635.260000001,1135.16
Ecuador,2010,13569.579999999996,25777718.559999995,1132.7800000000002
Dinamarca,2011,9725.210000000001,17855651.43,1129.4800000000002
Nueva Zelandia,2014,5327.139999999999,10814636.170000002,1122.84
Rumania,2007,2965.3899999999994,6162718.169999999,1117.82
Grecia,2017,3908.320000000001,11562248.919999998,1114.5300000000002
Ecuador,2015,17103.880000000005,46884146.720000006,1111.1699999999998
Perú,2013,8349.86,15684014.8,1102.9899999999996
Nueva Zelandia,2013,4442.109999999999,8246435.860000001,1095.3600000000001
Polonia,2017,7393.440000000001,21837366.139999997,1089.6300000000003
Eslovenia,2014,4467.2300000000005,8900228.26,1086.72
Estonia,2008,7714.220000000001,15267446.85,1079.41
Países Bajos,2011,7132.02,13133656.549999999,1063.4
Suiza,2006,3846.4700000000003,9159339.74,1052.28
Jordania,2018,3323.0700000000006,9716245.32,1031.99
Ecuador,2017,14599.28,43263522.71000001,1031.2300000000002
Ecuador,2018,16079.47,46987636.59000002,1030.2799999999997
Perú,2015,7472.36,20759873.16,1017.0500000000001
Siria- República Árabe,2008,3689.990000000001,7509835.5,1016.4899999999999
Perú,2012,9531.65,17149661.200000007,1016.2899999999998
Nueva Zelandia,2012,5622.739999999999,10099602.51,1012.2900000000002
Perú,2014,14893.02,28729631.240000006,1011.3499999999997
Grecia,2015,3631.4099999999994,9956264.970000003,1005.4199999999998
Nueva Zelandia,2007,2721.4799999999996,5645189.08,976.4499999999998
China,2012,5971.5599999999995,10652456.499999996,968.0300000000001
Venezuela,2007,9738.929999999998,20195708.18,961.1599999999996
Portugal,2018,2955.5299999999997,8643205.649999999,959.96
Ecuador,2011,12268.98,22629397.609999996,944.3800000000001
Irlanda,2017,3412.01,10085807.459999997,939.51
Perú,2010,5142.520000000001,9713923.95,908.7000000000003
Siria- República Árabe,2009,3333.89,6984934.709999999,905.05
Taiwán- Provincia de China,2012,5598.07,10092632.919999998,902.88
Ecuador,2016,11921.059999999994,35632931.54999998,895.1000000000001
Marruecos,2006,2183.3599999999997,5226030.439999999,895.03
Ecuador,2013,15701.900000000003,29299071.639999993,891.3499999999999
Eslovenia,2015,2929.8200000000006,8356126.21,889.62
Rumania,2008,2730.7799999999997,5340434.16,887.32
Nueva Zelandia,2008,3031.6,5907513.630000002,883.7700000000001
República Checa,2006,2121.9700000000007,4989762.17,881.4400000000002
Chile,2014,13722.350000000002,27524226.68999999,873.4300000000003
Chile,2015,12365.320000000002,33948322.85,872.5300000000004
Chile,2010,6242.250000000003,11749206.499999996,867.7000000000004
Venezuela,2008,9392.820000000002,18682408.01,863.5799999999999
Ecuador,2012,13173.79,23648891.98,851.0899999999996
Dinamarca,2010,5620.850000000001,10717513.650000002,850.67
Perú,2009,3563.719999999999,7759818.5600000005,849.0899999999999
Nueva Zelandia,2010,3921.1099999999997,7464763.160000001,837.4100000000002
Nueva Zelandia,2006,2059.6299999999997,4839411.550000001,826.9199999999998
Austria,2007,2247.3399999999997,4565359.03,823.28
Irlanda,2018,2802.4300000000003,8157685.820000003,803.9200000000001
Grecia,2007,2135.12,4505706.59,798.6199999999999
Siria- República Árabe,2007,2220.77,4628131.069999999,797.09
Sudáfrica,2015,2809.580000000001,7504178.780000001,785.15
Nueva Zelandia,2011,4978.09,9240656.88,783.0
Siria- República Árabe,2011,4622.16,8786587.41,779.2400000000001
Grecia,2013,2493.5400000000004,4668704.909999999,765.7600000000002
Suiza,2007,3117.9500000000003,6756448.15,758.4399999999998
Eslovenia,2018,2322.75,6693671.029999999,753.4100000000001
Ecuador,2014,12732.180000000002,25225102.070000008,750.64
Rumania,2012,3355.5299999999997,6023351.320000001,743.0
Grecia,2008,2313.29,4587656.04,734.9000000000001
Grecia,2014,2895.05,5843639.5600000005,725.1100000000001
Jordania,2013,2381.67,4479643.75,714.9500000000002
Polonia,2015,4596.34,12348957.919999998,710.4299999999998
Irlanda,2006,1841.6299999999999,4334699.18,709.53
Portugal,2009,2364.45,5002516.3100000005,704.9199999999998
Turquía,2018,2214.750000000001,6449887.459999999,686.97
Polonia,2009,5390.069999999999,12397577.170000002,686.4100000000001
Portugal,2014,2694.5099999999998,5446995.130000001,682.3
Chile,2011,6139.7699999999995,11165967.919999998,682.0200000000001
Eslovenia,2008,2275.9,4558461.73,681.09
Perú,2011,6022.700000000001,11078038.630000003,676.9600000000002
Marruecos,2008,2179.2999999999997,4087382.4599999995,676.8
Perú,2007,3811.7700000000023,7833852.430000002,676.5400000000002
Eslovenia,2017,2337.6200000000003,6892690.58,674.74
Taiwán- Provincia de China,2006,2492.6400000000003,5860025.76,671.2
Perú,2018,7565.480000000003,21931595.32999999,668.5599999999996
Polonia,2014,4487.959999999999,8934500.52,666.4499999999999
Venezuela,2010,9671.339999999998,18514220.509999994,660.8000000000001
Bulgaria,2008,2155.54,4048651.1,659.7900000000002
Perú,2008,3896.9700000000007,7454676.990000002,650.9100000000002
República Dominicana,2017,1846.81,5373101.68,644.9100000000001
Sudáfrica,2007,1959.2899999999997,3992520.3499999996,643.31
China,2008,2144.27,3989041.84,641.8
Marruecos,2007,1721.0700000000002,3541808.91,641.5299999999999
Sudáfrica,2018,1954.26,5696567.58,641.16
Jordania,2014,2003.5200000000002,4171331.67,638.68
Argentina,2018,2828.150000000001,8156594.320000001,629.2599999999998
Grecia,2009,1911.56,4287081.339999999,621.26
Líbano,2018,1919.6499999999999,5681087.05,619.6099999999999
Taiwán- Provincia de China,2007,2685.7400000000002,5572795.7,611.67
Sudáfrica,2016,1999.53,6068568.480000001,609.5899999999999
Grecia,2006,1521.28,3595183.09,606.57
Chile,2013,8502.629999999996,15817899.490000006,604.3499999999999
China,2006,1594.6899999999998,3797397.0400000005,604.25
Siria- República Árabe,2015,2256.81,5826597.339999999,598.4699999999999
Taiwán- Provincia de China,2010,3381.3600000000006,6548743.059999999,592.5100000000001
Suiza,2008,2303.63,4270173.550000001,578.73
Taiwán- Provincia de China,2008,2701.43,5164359.47,576.1
Sudáfrica,2014,2098.85,4114408.25,571.58
Portugal,2013,1869.0200000000002,3534251.8299999996,566.4
Portugal,2015,2111.7299999999996,5658458.5,565.63
Ucrania,2018,1700.8400000000001,4975633.05,564.8799999999999
